fecha,mp,efectivo,facturacion
1/03,191000,63000,254000
4/03,15000,0,15000
5/03,25500,25474500,25500000
6/03,6500,6500,13000
7/03,223500,177500,401000
8/03,14000,0,14000
10/03,14500,7500,22000
