fecha,mp,efectivo,facturacion
1/3,,,154000
1/3,537800,358800,896600
2/3,133400,81900,215300
3/3,844700,410400,1255100
4/3,198000,92300,290300
5/3,154000,35000,189000
6/3,85000,45000,130000
7/3,1200100,573400,1773500
8/3,310700,184500,495200
9/3,138700,1888300,2027000
10/3,54500,54300,108800
